category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,firstLoAccess,isAutogeneratedPad,isElfNotype
symbol,0x40BA44,None,.L0040BA44,@branchlabel,None,None,None,0x4,0xBA44,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BA54,None,func_0040BA54,@function,None,None,0x200,0x200,0xBA54,.text,True,False,True,False,1,None,False,True,False,True,None,2252,False,False
symbol,0x40BA9C,None,.L0040BA9C,@branchlabel,None,None,None,0x4,0xBA9C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BAAC,None,.L0040BAAC,@branchlabel,None,None,None,0x4,0xBAAC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BAF8,None,.L0040BAF8,@branchlabel,None,None,None,0x4,0xBAF8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BC44,None,.L0040BC44,@branchlabel,None,None,None,0x4,0xBC44,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BC54,None,func_0040BC54,@function,None,None,0xD8,0xD8,0xBC54,.text,True,False,True,False,9,None,False,True,False,True,None,2436,False,False
symbol,0x40BC8C,None,.L0040BC8C,@branchlabel,None,None,None,0x4,0xBC8C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BCB0,None,.L0040BCB0,@branchlabel,None,None,None,0x4,0xBCB0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BD14,None,.L0040BD14,@branchlabel,None,None,None,0x4,0xBD14,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BD1C,None,.L0040BD1C,@branchlabel,None,None,None,0x4,0xBD1C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BD2C,None,func_0040BD2C,@function,None,None,0x5C,0x5C,0xBD2C,.text,True,False,True,False,0,None,False,False,False,False,None,None,False,False
symbol,0x40BD78,None,.L0040BD78,@branchlabel,None,None,None,0x4,0xBD78,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BD88,execCommand,execCommand,@function,None,0x17C,0x188,0x17C,0xBD88,.text,True,True,False,False,0,None,False,True,True,False,95,None,False,False
symbol,0x40BE14,None,.L0040BE14,@branchlabel,None,None,None,0x4,0xBE14,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BE48,None,.L0040BE48,@branchlabel,None,None,None,0x4,0xBE48,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x40BE90,None,.L0040BE90,@branchlabel,None,None,None,0x4,0xBE90,.text,True,False,True,False,3,None,False,False,False,False,None,None,False,False
symbol,0x40BEE4,None,.L0040BEE4,@branchlabel,None,None,None,0x4,0xBEE4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BEEC,None,.L0040BEEC,@branchlabel,None,None,None,0x4,0xBEEC,.text,True,False,True,False,3,None,False,False,False,False,None,None,False,False
symbol,0x40BEF4,None,.L0040BEF4,@branchlabel,None,None,None,0x4,0xBEF4,.text,True,False,True,False,5,None,False,False,False,False,None,None,False,False
symbol,0x40BF10,createElspec,createElspec,@function,None,0x734,0x734,0x734,0xBF10,.text,True,True,False,False,0,None,False,True,True,False,96,None,False,False
symbol,0x40BF84,None,.L0040BF84,@branchlabel,None,None,None,0x4,0xBF84,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BFAC,None,.L0040BFAC,@branchlabel,None,None,None,0x4,0xBFAC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BFD4,None,.L0040BFD4,@branchlabel,None,None,None,0x4,0xBFD4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
